delivery_id,request_id,warehouse_id,quantity_delivered,promised_date,delivered_date,status
9001,5001,4,18500,2026-02-05,2026-02-09,Partial
9002,5002,1,48200,2026-02-03,2026-02-03,Delivered
9003,5003,4,12000,2026-02-05,2026-02-12,Lost
10000,6000,1,5932,2025-10-17,2025-10-17,Partial
10001,6001,1,6500,2025-11-02,2025-11-02,Delivered
10002,6002,1,3926,2025-10-31,2025-10-31,Delivered
10003,6003,1,5899,2026-02-27,2026-02-27,Delivered
10004,6004,1,2177,2026-02-18,2026-02-18,Partial
10005,6005,1,8588,2026-03-04,2026-03-04,Delivered
10006,6006,1,4517,2026-02-26,2026-02-26,Delivered
10007,6007,1,6898,2025-11-03,2025-11-03,Partial
10008,6008,1,14446,2025-11-02,2025-11-02,Delivered
10009,6009,1,4335,2025-10-07,2025-10-07,Partial
10010,6010,1,1248,2026-03-02,2026-03-02,Delivered
10011,6011,1,3502,2026-02-19,2026-02-19,Delivered
10012,6012,1,7683,2026-02-16,2026-02-16,Delivered
10013,6013,1,3918,2026-02-18,2026-02-18,Partial
10014,6014,1,6287,2026-02-26,2026-02-26,Partial
10015,6015,1,1957,2026-02-21,2026-02-21,Delivered
10016,6016,1,3371,2026-03-07,2026-03-07,Partial
10017,6017,1,2717,2026-03-02,2026-03-02,Partial
10018,6018,1,2242,2025-11-01,2025-11-01,Partial
10019,6019,1,6560,2025-10-19,2025-10-19,Delivered
10020,6020,1,10606,2025-10-19,2025-10-19,Partial
10021,6021,1,7122,2025-10-18,2025-10-18,Delivered
10022,6022,1,8412,2026-02-25,2026-02-25,Partial
10023,6023,1,8290,2026-02-24,2026-02-24,Partial
10024,6024,1,12588,2026-02-27,2026-02-27,Partial
10025,6025,1,6143,2026-02-25,2026-02-25,Delivered
10026,6026,1,5685,2026-03-03,2026-03-03,Delivered
10027,6027,1,4369,2026-02-28,2026-02-28,Partial
10028,6028,1,8318,2025-10-19,2025-10-19,Delivered
10029,6029,1,6788,2025-10-19,2025-10-19,Delivered
10030,6030,1,6110,2025-10-29,2025-10-29,Delivered
10031,6031,1,2557,2025-10-14,2025-10-14,Partial
10032,6032,1,7892,2025-10-15,2025-10-15,Delivered
10033,6033,1,8467,2025-10-13,2025-10-13,Delivered
10034,6034,1,8341,2025-10-27,2025-10-27,Delivered
10035,6035,1,7401,2025-10-14,2025-10-14,Delivered
10036,6036,1,6154,2026-02-21,2026-02-21,Delivered
10037,6037,1,5821,2026-02-25,2026-02-25,Delivered
10038,6038,1,138,2026-02-21,2026-02-21,Lost
10039,6039,1,7206,2026-02-18,2026-02-18,Delivered
10040,6040,1,4022,2026-03-05,2026-03-05,Delivered
10041,6041,1,2666,2026-03-09,2026-03-09,Delivered
10042,6042,1,5477,2026-02-17,2026-02-17,Partial
10043,6043,1,1937,2026-02-22,2026-02-22,Partial
10044,6044,1,7442,2025-10-11,2025-10-11,Delivered
10045,6045,1,6615,2025-11-01,2025-11-01,Partial
10046,6046,1,5884,2025-10-22,2025-10-22,Delivered
10047,6047,1,14319,2025-10-24,2025-10-24,Partial
10048,6048,1,3271,2026-03-03,2026-03-03,Delivered
10049,6049,1,3251,2026-02-26,2026-02-26,Delivered
10050,6050,1,1087,2026-02-10,2026-02-10,Partial
10051,6051,1,6646,2026-02-15,2026-02-15,Partial
10052,6052,1,4617,2025-10-21,2025-10-21,Delivered
10053,6053,1,5033,2025-10-09,2025-10-09,Delivered
10054,6054,1,7617,2025-11-04,2025-11-04,Partial
10055,6055,1,8410,2025-11-07,2025-11-07,Delivered
10056,6056,1,7188,2025-10-10,2025-10-10,Delivered
10057,6057,1,2005,2025-10-11,2025-10-11,Delivered
10058,6058,1,7297,2025-10-17,2025-10-17,Delivered
10059,6059,1,4653,2026-03-03,2026-03-03,Delivered
10060,6060,1,7309,2026-03-04,2026-03-04,Partial
10061,6061,1,1313,2026-03-08,2026-03-08,Delivered
10062,6062,1,3628,2026-02-27,2026-02-27,Delivered
10063,6063,1,4049,2026-02-16,2026-02-16,Partial
10064,6064,1,5063,2026-02-12,2026-02-12,Partial
10065,6065,1,682,2026-02-19,2026-02-19,Partial
10066,6066,1,2983,2025-10-07,2025-10-07,Delivered
10067,6067,1,1328,2025-10-28,2025-10-28,Partial
10068,6068,1,17,2025-10-18,2025-10-18,Lost
10069,6069,1,7124,2025-10-20,2025-10-20,Partial
10070,6070,1,6880,2025-11-03,2025-11-03,Partial
10071,6071,1,4816,2025-10-25,2025-10-25,Delivered
10072,6072,1,2219,2025-10-14,2025-10-14,Delivered
10073,6073,1,620,2026-02-11,2026-02-11,Partial
10074,6074,1,3719,2026-03-07,2026-03-07,Delivered
10075,6075,1,2660,2026-03-05,2026-03-05,Delivered
10076,6076,1,1816,2025-10-26,2025-10-26,Delivered
10077,6077,1,2900,2025-10-24,2025-10-24,Delivered
10078,6078,1,3950,2025-11-04,2025-11-04,Partial
10079,6079,1,4522,2025-10-13,2025-10-13,Delivered
10080,6080,1,5997,2025-10-19,2025-10-19,Delivered
10081,6081,1,3616,2025-11-02,2025-11-02,Delivered
10082,6082,1,2813,2026-03-02,2026-03-02,Delivered
10083,6083,1,20888,2026-02-10,2026-02-10,Delivered
10084,6084,1,15898,2026-03-05,2026-03-05,Delivered
10085,6085,1,6214,2026-02-13,2026-02-13,Delivered
10086,6086,1,221,2026-03-01,2026-03-01,Lost
10087,6087,1,4518,2026-02-13,2026-02-13,Delivered
10088,6088,1,7199,2026-03-07,2026-03-07,Delivered
10089,6089,1,4138,2025-10-30,2025-10-30,Partial
10090,6090,1,2523,2025-10-15,2025-10-15,Delivered
10091,6091,1,2618,2025-11-02,2025-11-02,Delivered
10092,6092,1,1066,2025-10-29,2025-10-29,Partial
10093,6093,1,7036,2025-10-19,2025-10-19,Delivered
10094,6094,1,5396,2026-02-22,2026-02-22,Delivered
10095,6095,1,3774,2026-02-12,2026-02-12,Partial
10096,6096,1,4040,2026-02-18,2026-02-18,Partial
10097,6097,1,6545,2026-03-10,2026-03-10,Delivered
10098,6098,1,2911,2026-03-07,2026-03-07,Partial
10099,6099,1,5243,2025-10-24,2025-10-24,Delivered
10100,6100,1,6700,2025-10-07,2025-10-07,Partial
10101,6101,1,8721,2025-10-22,2025-10-22,Delivered
10102,6102,1,5236,2025-10-20,2025-10-20,Delivered
10103,6103,1,1000,2025-11-05,2025-11-05,Delivered
10104,6104,1,6654,2025-10-15,2025-10-15,Partial
10105,6105,1,618,2025-10-18,2025-10-18,Partial
10106,6106,1,6118,2025-10-23,2025-10-23,Delivered
10107,6107,1,4264,2026-02-20,2026-02-20,Partial
10108,6108,1,4285,2026-02-28,2026-02-28,Partial
10109,6109,1,1582,2026-02-27,2026-02-27,Delivered
10110,6110,1,2374,2026-02-18,2026-02-18,Partial
10111,6111,1,3080,2026-02-24,2026-02-24,Delivered
10112,6112,1,4715,2026-02-23,2026-02-23,Partial
10113,6113,1,3137,2026-02-20,2026-02-20,Delivered
10114,6114,1,3236,2025-10-22,2025-10-22,Partial
