request_id,site_id,product_id,season,quantity_requested,request_date
5001,112,3,25B,22000,2026-01-28
5002,207,1,25B,48200,2026-01-25
5003,112,1,25B,15400,2026-01-29
6000,101,4,25A,6098,2025-10-12
6001,101,4,25A,6626,2025-10-21
6002,101,3,25A,3980,2025-10-22
6003,101,2,25B,5905,2026-02-19
6004,101,4,25B,2234,2026-02-13
6005,101,2,25B,8727,2026-02-24
6006,101,4,25B,4595,2026-02-15
6007,102,2,25A,7049,2025-10-22
6008,102,2,25A,14593,2025-10-21
6009,102,3,25A,4454,2025-10-01
6010,102,3,25B,1265,2026-02-20
6011,102,3,25B,3518,2026-02-12
6012,102,3,25B,7787,2026-02-08
6013,102,4,25B,4037,2026-02-11
6014,102,1,25B,6452,2026-02-13
6015,102,3,25B,1996,2026-02-10
6016,102,4,25B,3447,2026-02-26
6017,102,4,25B,2793,2026-02-19
6018,103,4,25A,2299,2025-10-22
6019,103,3,25A,6643,2025-10-09
6020,103,4,25A,10886,2025-10-13
6021,103,2,25A,7265,2025-10-05
6022,103,1,25B,8651,2026-02-13
6023,103,3,25B,8477,2026-02-15
6024,103,5,25B,12922,2026-02-22
6025,103,5,25B,6194,2026-02-18
6026,103,4,25B,5762,2026-02-24
6027,103,1,25B,4464,2026-02-22
6028,104,5,25A,8462,2025-10-14
6029,104,1,25A,6888,2025-10-06
6030,104,2,25A,6157,2025-10-24
6031,104,5,25A,2624,2025-10-02
6032,104,4,25A,7946,2025-10-08
6033,104,3,25A,8550,2025-10-06
6034,104,1,25A,8391,2025-10-19
6035,104,1,25A,7538,2025-10-04
6036,104,3,25B,6168,2026-02-14
6037,104,1,25B,5925,2026-02-19
6038,104,1,25B,8437,2026-02-12
6039,104,2,25B,7293,2026-02-09
6040,104,2,25B,4065,2026-02-25
6041,104,3,25B,2681,2026-02-26
6042,104,3,25B,5593,2026-02-05
6043,104,3,25B,1990,2026-02-16
6044,105,1,25A,7580,2025-10-02
6045,105,4,25A,6782,2025-10-23
6046,105,1,25A,5997,2025-10-15
6047,105,1,25A,14717,2025-10-11
6048,105,5,25B,3293,2026-02-21
6049,105,4,25B,3313,2026-02-14
6050,105,3,25B,1113,2026-02-04
6051,105,3,25B,6790,2026-02-09
6052,106,5,25A,4639,2025-10-12
6053,106,3,25A,5074,2025-10-02
6054,106,3,25A,7830,2025-10-25
6055,106,3,25A,8461,2025-10-25
6056,106,5,25A,7278,2025-10-03
