request_id,district,sector,site_name,farmer_name,fertilizer_type,quantity_bags,price_per_bag,total_amount,request_date,delivery_status
1007,Nyagatare,Sector 1,Sector 1 Site,Farmer_1007,DAP,59,35,2065,2026-07-18,Delivered
1011,Nyanza,Sector 10,Sector 10 Site,Farmer_1011,DAP,57,35,1995,2026-07-09,Pending
1023,Rwamagana,Sector 4,Sector 4 Site,Farmer_1023,DAP,7,35,245,2026-07-09,Pending
1034,Rusizi,Sector 8,Sector 8 Site,Farmer_1034,DAP,28,35,980,2026-07-08,Booked
1036,Kirehe,Sector 10,Sector 10 Site,Farmer_1036,DAP,44,35,1540,2026-07-28,Booked
1038,Nyagatare,Sector 11,Sector 11 Site,Farmer_1038,DAP,49,35,1715,2026-07-06,Booked
1039,Rulindo,Sector 8,Sector 8 Site,Farmer_1039,DAP,7,35,245,2026-07-06,Delivered
1048,Kicukiro,Sector 4,Sector 4 Site,Farmer_1048,DAP,27,35,945,2026-07-27,Booked
1054,Gakenke,Sector 6,Sector 6 Site,Farmer_1054,DAP,46,35,1610,2026-07-11,Booked
1064,Nyagatare,Sector 4,Sector 4 Site,Farmer_1064,DAP,58,35,2030,2026-07-01,Booked
1066,Nyaruguru,Sector 11,Sector 11 Site,Farmer_1066,DAP,60,35,2100,2026-07-13,Pending
1069,Karongi,Sector 12,Sector 12 Site,Farmer_1069,DAP,7,35,245,2026-07-03,Delivered
1071,Ngororero,Sector 11,Sector 11 Site,Farmer_1071,DAP,13,35,455,2026-07-28,Booked
1072,Huye,Sector 7,Sector 7 Site,Farmer_1072,DAP,52,35,1820,2026-07-21,Pending
1079,Musanze,Sector 7,Sector 7 Site,Farmer_1079,DAP,52,35,1820,2026-07-01,Delivered
1081,Karongi,Sector 1,Sector 1 Site,Farmer_1081,DAP,16,35,560,2026-07-02,Pending
1092,Ngororero,Sector 10,Sector 10 Site,Farmer_1092,DAP,18,35,630,2026-07-16,Delivered
1093,Rubavu,Sector 9,Sector 9 Site,Farmer_1093,DAP,57,35,1995,2026-07-19,Pending
1098,Nyagatare,Sector 11,Sector 11 Site,Farmer_1098,DAP,46,35,1610,2026-07-22,Booked
1099,Rwamagana,Sector 1,Sector 1 Site,Farmer_1099,DAP,16,35,560,2026-07-30,Pending
1100,Ngororero,Sector 3,Sector 3 Site,Farmer_1100,DAP,60,35,2100,2026-07-24,Pending
1101,Kicukiro,Sector 9,Sector 9 Site,Farmer_1101,DAP,37,35,1295,2026-07-16,Pending
1108,Nyaruguru,Sector 4,Sector 4 Site,Farmer_1108,DAP,17,35,595,2026-07-25,Pending
1110,Rutsiro,Sector 1,Sector 1 Site,Farmer_1110,DAP,16,35,560,2026-07-29,Booked
1111,Bugesera,Sector 1,Sector 1 Site,Farmer_1111,DAP,18,35,630,2026-07-05,Booked
1121,Gisagara,Sector 4,Sector 4 Site,Farmer_1121,DAP,29,35,1015,2026-07-11,Delivered
1124,Rulindo,Sector 4,Sector 4 Site,Farmer_1124,DAP,9,35,315,2026-07-16,Booked
1129,Muhanga,Sector 8,Sector 8 Site,Farmer_1129,DAP,32,35,1120,2026-07-07,Booked
1135,Nyagatare,Sector 4,Sector 4 Site,Farmer_1135,DAP,49,35,1715,2026-07-13,Delivered
1141,Nyarugenge,Sector 2,Sector 2 Site,Farmer_1141,DAP,21,35,735,2026-07-24,Pending
1144,Ngororero,Sector 10,Sector 10 Site,Farmer_1144,DAP,29,35,1015,2026-07-14,Booked
1145,Ruhango,Sector 7,Sector 7 Site,Farmer_1145,DAP,31,35,1085,2026-07-06,Delivered
1155,Karongi,Sector 11,Sector 11 Site,Farmer_1155,DAP,33,35,1155,2026-07-21,Delivered
1165,Muhanga,Sector 9,Sector 9 Site,Farmer_1165,DAP,12,35,420,2026-07-13,Pending
1174,Gicumbi,Sector 12,Sector 12 Site,Farmer_1174,DAP,48,35,1680,2026-07-13,Booked
1175,Rwamagana,Sector 3,Sector 3 Site,Farmer_1175,DAP,24,35,840,2026-07-16,Pending
1179,Kayonza,Sector 2,Sector 2 Site,Farmer_1179,DAP,50,35,1750,2026-07-28,Pending
1183,Gatsibo,Sector 1,Sector 1 Site,Farmer_1183,DAP,9,35,315,2026-07-27,Delivered
1185,Bugesera,Sector 4,Sector 4 Site,Farmer_1185,DAP,24,35,840,2026-07-27,Booked
1189,Karongi,Sector 11,Sector 11 Site,Farmer_1189,DAP,54,35,1890,2026-07-13,Delivered
1191,Nyamasheke,Sector 9,Sector 9 Site,Farmer_1191,DAP,28,35,980,2026-07-24,Delivered
1194,Rusizi,Sector 1,Sector 1 Site,Farmer_1194,DAP,52,35,1820,2026-07-01,Delivered
