site_id,site_name,district,sector
101,Kigali Site 01,Kigali,Sector 1
102,Kigali Site 02,Kigali,Sector 2
103,Kigali Site 03,Kigali,Sector 3
104,Kigali Site 04,Kigali,Sector 4
105,Kigali Site 05,Kigali,Sector 5
106,Kigali Site 06,Kigali,Sector 6
107,Kigali Site 07,Kigali,Sector 7
108,Kigali Site 08,Kigali,Sector 8
109,Kigali Site 09,Kigali,Sector 1
110,Kigali Site 10,Kigali,Sector 2
111,Kigali Site 11,Kigali,Sector 3
112,Musanze Site 09,Musanze,Sector 1
113,Kigali Site 13,Kigali,Sector 5
114,Kigali Site 14,Kigali,Sector 6
115,Kigali Site 15,Kigali,Sector 7
116,Kigali Site 16,Kigali,Sector 8
117,Kigali Site 17,Kigali,Sector 1
118,Kigali Site 18,Kigali,Sector 2
119,Kigali Site 19,Kigali,Sector 3
120,Kigali Site 20,Kigali,Sector 4
121,Kigali Site 21,Kigali,Sector 5
122,Kigali Site 22,Kigali,Sector 6
123,Bugesera Site 01,Bugesera,Sector 1
124,Bugesera Site 02,Bugesera,Sector 2
125,Bugesera Site 03,Bugesera,Sector 3
126,Bugesera Site 04,Bugesera,Sector 4
127,Bugesera Site 05,Bugesera,Sector 5
128,Bugesera Site 06,Bugesera,Sector 6
129,Bugesera Site 07,Bugesera,Sector 7
130,Bugesera Site 08,Bugesera,Sector 8
131,Bugesera Site 09,Bugesera,Sector 1
132,Bugesera Site 10,Bugesera,Sector 2
133,Bugesera Site 11,Bugesera,Sector 3
134,Bugesera Site 12,Bugesera,Sector 4
135,Bugesera Site 13,Bugesera,Sector 5
136,Bugesera Site 14,Bugesera,Sector 6
137,Bugesera Site 15,Bugesera,Sector 7
138,Bugesera Site 16,Bugesera,Sector 8
139,Bugesera Site 17,Bugesera,Sector 1
140,Bugesera Site 18,Bugesera,Sector 2
141,Bugesera Site 19,Bugesera,Sector 3
142,Bugesera Site 20,Bugesera,Sector 4
143,Bugesera Site 21,Bugesera,Sector 5
144,Bugesera Site 22,Bugesera,Sector 6
145,Ngoma Site 01,Ngoma,Sector 1
146,Ngoma Site 02,Ngoma,Sector 2
147,Ngoma Site 03,Ngoma,Sector 3
148,Ngoma Site 04,Ngoma,Sector 4
149,Ngoma Site 05,Ngoma,Sector 5
150,Ngoma Site 06,Ngoma,Sector 6
151,Ngoma Site 07,Ngoma,Sector 7
152,Ngoma Site 08,Ngoma,Sector 8
153,Ngoma Site 09,Ngoma,Sector 1
154,Ngoma Site 10,Ngoma,Sector 2
155,Ngoma Site 11,Ngoma,Sector 3
156,Ngoma Site 12,Ngoma,Sector 4
157,Ngoma Site 13,Ngoma,Sector 5
158,Ngoma Site 14,Ngoma,Sector 6
159,Ngoma Site 15,Ngoma,Sector 7
160,Ngoma Site 16,Ngoma,Sector 8
161,Ngoma Site 17,Ngoma,Sector 1
162,Ngoma Site 18,Ngoma,Sector 2
163,Ngoma Site 19,Ngoma,Sector 3
164,Ngoma Site 20,Ngoma,Sector 4
165,Ngoma Site 21,Ngoma,Sector 5
166,Ngoma Site 22,Ngoma,Sector 6
167,Huye Site 01,Huye,Sector 1
168,Huye Site 02,Huye,Sector 2
169,Huye Site 03,Huye,Sector 3
170,Huye Site 04,Huye,Sector 4
171,Huye Site 05,Huye,Sector 5
172,Huye Site 06,Huye,Sector 6
173,Huye Site 07,Huye,Sector 7
174,Huye Site 08,Huye,Sector 8
175,Huye Site 09,Huye,Sector 1
176,Huye Site 10,Huye,Sector 2
177,Huye Site 11,Huye,Sector 3
178,Huye Site 12,Huye,Sector 4
179,Huye Site 13,Huye,Sector 5
180,Huye Site 14,Huye,Sector 6
181,Huye Site 15,Huye,Sector 7
182,Huye Site 16,Huye,Sector 8
183,Huye Site 17,Huye,Sector 1
184,Huye Site 18,Huye,Sector 2
185,Huye Site 19,Huye,Sector 3
186,Huye Site 20,Huye,Sector 4
187,Huye Site 21,Huye,Sector 5
188,Huye Site 22,Huye,Sector 6
189,Nyagatare Site 01,Nyagatare,Sector 1
190,Nyagatare Site 02,Nyagatare,Sector 2
191,Nyagatare Site 03,Nyagatare,Sector 3
192,Nyagatare Site 04,Nyagatare,Sector 4
193,Nyagatare Site 05,Nyagatare,Sector 5
194,Nyagatare Site 06,Nyagatare,Sector 6
195,Nyagatare Site 07,Nyagatare,Sector 7
196,Nyagatare Site 08,Nyagatare,Sector 8
197,Nyagatare Site 09,Nyagatare,Sector 1
198,Nyagatare Site 10,Nyagatare,Sector 2
199,Nyagatare Site 11,Nyagatare,Sector 3
200,Nyagatare Site 19,Nyagatare,Sector 3
201,Nyagatare Site 13,Nyagatare,Sector 5
202,Nyagatare Site 14,Nyagatare,Sector 6
203,Nyagatare Site 15,Nyagatare,Sector 7
204,Nyagatare Site 16,Nyagatare,Sector 8
205,Nyagatare Site 17,Nyagatare,Sector 1
206,Nyagatare Site 18,Nyagatare,Sector 2
207,Nyagatare Site 12,Nyagatare,Sector 4
208,Nyagatare Site 20,Nyagatare,Sector 4
209,Nyagatare Site 21,Nyagatare,Sector 5
210,Nyagatare Site 22,Nyagatare,Sector 6
211,Kayonza Site 01,Kayonza,Sector 1
212,Kayonza Site 02,Kayonza,Sector 2
213,Kayonza Site 03,Kayonza,Sector 3
214,Kayonza Site 04,Kayonza,Sector 4
215,Kayonza Site 05,Kayonza,Sector 5
216,Kayonza Site 06,Kayonza,Sector 6
217,Kayonza Site 07,Kayonza,Sector 7
218,Kayonza Site 08,Kayonza,Sector 8
219,Kayonza Site 09,Kayonza,Sector 1
220,Kayonza Site 10,Kayonza,Sector 2
221,Kayonza Site 11,Kayonza,Sector 3
222,Kayonza Site 12,Kayonza,Sector 4
223,Kayonza Site 13,Kayonza,Sector 5
224,Kayonza Site 14,Kayonza,Sector 6
225,Kayonza Site 15,Kayonza,Sector 7
226,Kayonza Site 16,Kayonza,Sector 8
227,Kayonza Site 17,Kayonza,Sector 1
228,Kayonza Site 18,Kayonza,Sector 2
229,Kayonza Site 19,Kayonza,Sector 3
230,Kayonza Site 20,Kayonza,Sector 4
231,Kayonza Site 21,Kayonza,Sector 5
232,Kayonza Site 22,Kayonza,Sector 6
233,Musanze Site 01,Musanze,Sector 1
234,Musanze Site 02,Musanze,Sector 2
235,Musanze Site 03,Musanze,Sector 3
236,Musanze Site 04,Musanze,Sector 4
237,Musanze Site 05,Musanze,Sector 5
238,Musanze Site 06,Musanze,Sector 6
239,Musanze Site 07,Musanze,Sector 7
240,Musanze Site 08,Musanze,Sector 8
241,Kigali Site 12,Kigali,Sector 4
242,Musanze Site 10,Musanze,Sector 2
243,Musanze Site 11,Musanze,Sector 3
244,Musanze Site 12,Musanze,Sector 4
245,Musanze Site 13,Musanze,Sector 5
246,Musanze Site 14,Musanze,Sector 6
247,Musanze Site 15,Musanze,Sector 7
248,Musanze Site 16,Musanze,Sector 8
249,Musanze Site 17,Musanze,Sector 1
250,Musanze Site 18,Musanze,Sector 2
251,Musanze Site 19,Musanze,Sector 3
252,Musanze Site 20,Musanze,Sector 4
253,Musanze Site 21,Musanze,Sector 5
254,Musanze Site 22,Musanze,Sector 6
255,Rusizi Site 01,Rusizi,Sector 1
256,Rusizi Site 02,Rusizi,Sector 2
257,Rusizi Site 03,Rusizi,Sector 3
258,Rusizi Site 04,Rusizi,Sector 4
259,Rusizi Site 05,Rusizi,Sector 5
260,Rusizi Site 06,Rusizi,Sector 6
261,Rusizi Site 07,Rusizi,Sector 7
262,Rusizi Site 08,Rusizi,Sector 8
263,Rusizi Site 09,Rusizi,Sector 1
264,Rusizi Site 10,Rusizi,Sector 2
265,Rusizi Site 11,Rusizi,Sector 3
266,Rusizi Site 12,Rusizi,Sector 4
267,Rusizi Site 13,Rusizi,Sector 5
268,Rusizi Site 14,Rusizi,Sector 6
269,Rusizi Site 15,Rusizi,Sector 7
270,Rusizi Site 16,Rusizi,Sector 8
271,Rusizi Site 17,Rusizi,Sector 1
272,Rusizi Site 18,Rusizi,Sector 2
273,Rusizi Site 19,Rusizi,Sector 3
274,Rusizi Site 20,Rusizi,Sector 4
275,Rusizi Site 21,Rusizi,Sector 5
276,Rusizi Site 22,Rusizi,Sector 6
277,Gatsibo Site 01,Gatsibo,Sector 1
278,Gatsibo Site 02,Gatsibo,Sector 2
279,Gatsibo Site 03,Gatsibo,Sector 3
280,Gatsibo Site 04,Gatsibo,Sector 4
281,Gatsibo Site 05,Gatsibo,Sector 5
282,Gatsibo Site 06,Gatsibo,Sector 6
283,Gatsibo Site 07,Gatsibo,Sector 7
284,Gatsibo Site 08,Gatsibo,Sector 8
285,Gatsibo Site 09,Gatsibo,Sector 1
286,Gatsibo Site 10,Gatsibo,Sector 2
287,Gatsibo Site 11,Gatsibo,Sector 3
288,Gatsibo Site 12,Gatsibo,Sector 4
289,Gatsibo Site 13,Gatsibo,Sector 5
290,Gatsibo Site 14,Gatsibo,Sector 6
291,Gatsibo Site 15,Gatsibo,Sector 7
292,Gatsibo Site 16,Gatsibo,Sector 8
293,Gatsibo Site 17,Gatsibo,Sector 1
294,Gatsibo Site 18,Gatsibo,Sector 2
295,Gatsibo Site 19,Gatsibo,Sector 3
296,Gatsibo Site 20,Gatsibo,Sector 4
297,Gatsibo Site 21,Gatsibo,Sector 5
298,Gatsibo Site 22,Gatsibo,Sector 6
299,Kirehe Site 01,Kirehe,Sector 1
300,Kirehe Site 02,Kirehe,Sector 2
301,Kirehe Site 03,Kirehe,Sector 3
302,Kirehe Site 04,Kirehe,Sector 4
303,Kirehe Site 05,Kirehe,Sector 5
304,Kirehe Site 06,Kirehe,Sector 6
305,Kirehe Site 07,Kirehe,Sector 7
306,Kirehe Site 08,Kirehe,Sector 8
307,Kirehe Site 09,Kirehe,Sector 1
308,Kirehe Site 10,Kirehe,Sector 2
309,Kirehe Site 11,Kirehe,Sector 3
310,Kirehe Site 12,Kirehe,Sector 4
311,Kirehe Site 13,Kirehe,Sector 5
312,Kirehe Site 14,Kirehe,Sector 6
313,Kirehe Site 15,Kirehe,Sector 7
314,Kirehe Site 16,Kirehe,Sector 8
315,Kirehe Site 17,Kirehe,Sector 1
316,Kirehe Site 18,Kirehe,Sector 2
317,Kirehe Site 19,Kirehe,Sector 3
318,Kirehe Site 20,Kirehe,Sector 4
319,Kirehe Site 21,Kirehe,Sector 5
320,Kirehe Site 22,Kirehe,Sector 6
